,reviews,sentiment
44,윤제문이라는 멋진 배우를 발견하게 됐어요. 소소한 일탈이 잔잔한 미소를 머금게 합니다. 음악은 조금 아쉽네요ㅠㅠ 8점 주고 싶은데 평점 올리고 싶어 10점 줄게요^^,1
45,평점에속지마시길시간낭비 돈낭비임,0
46,리얼리티가 뛰어나긴 한데 큰 공감은 안간다. 이민기캐릭터는 정신의학상 분노조절장애 초기 증상일거다. 툭하면 사람패고 욕하고 물건 파손하고.. 조금 오바였음. 극 초반엔 신선했는데 가면 갈수록 이민기 정신상태 공감불가.,0
47,마이너스는 왜없냐 ㅋ 뮤비 보고 영화수준 딱 알만하더군 ㅉㅉ 북한에서 이런거 만들라고 돈 대주던?,0
48,난 우리영화를 사랑합니다....^^;,0
49,"데너리스 타르 가르엔...나도 용의주인이 되고 싶다...누이랑,근친상간이나 하고 다닐지라도,소설 속에선 제일 멋진 놈이 자이메 라니스터였는데,드라마속에선,드래곤(용)이 제일 멋지네(웃음)감독님 토르-2 다크 월드는 말아 잡수셨을지라도,기본 선방은 했음",1
50,영화가 사람의 영혼을 어루만져 줄 수도 있군요 거친 세상사를 잠시 잊고 동화같은 영화에 행복했네요,1
51,야 세르게이! 작은고추의 매운맛을 보여주마! 포퐁저그 콩진호가 간다,0
52,이렇게 가슴시리게 본 드라마가 또 있을까? 감동 그 자체!,1
53,"난또 저 꼬마애가 무슨 원한이 깊길래.,. 했더니 OO 그냥 혼자 나대다 OO걸 어쩌라고.",0
54,재미있어요,1
55,전 좋아요,1
56,최고,0
57,너무 충격적이엇다. 기분을 완전히 푹 꺼지게 하는 느낌... 활력이라고는 하나도 없는 너무나도 무거운....지독하고 차갑고 무자비하다. 그저 일본인들의 상상력은 정말 대단한거 같다는 생각이 든다.,1
58,심심한영화.,0
59,백봉기 언제나오나요?,1
60,보는내내 그대로 들어맞는 예측 카리스마 없는 악역,0
61,불알이 나와서 당황...아무튼 영화가 중간에 끝나는 느낌,0
62,평범함속에 녹아든 평범한 일상. 조금 밋밋한게 흠.,0
63,보던거라 계속보고있는데 전개도 느리고 주인공인 은희는 한두컷 나오면서 소극적인모습에 짜증이 ㅜㅜ 맨날 언제끝나나 기대만하고있어요 전개좀 빨리빨리 ㅜㅜ,0
64,"사랑하고싶게하는,가슴속온감정을헤집어놓는영화예요정말최고.",1
65,"많은 사람들이 이 다큐를 보고 우리나라 슬픈 현대사의 한 단면에 대해 깊이 생각하고 사죄하고 바로 잡기 위해 노력했으면 합니다. 말로만 듣던 보도연맹, 그 민간인 학살이 이정도 일 줄이야. 이건 명백한 살인입니다. 살인자들은 다 어디있나요?",1
66,"예전 작품 캐릭터, 에피소드 재탕 삼탕 사골우려먹듯 우리고 내용은 산으로 가고 시청률은 아예안나오고 이제 70회중반인데 120부작이라니 ...",0
67,김남길의 백점짜리 연기력과 초반 몰입도에도 불구하고 지루하고 손예진 ㅈㅈ,0
68,재밌네 비슷한 영화를 안보신 분들한테는 재미있을 듯,1
69,노래실력으로뽑는게 맞냐? 박시환이 mama나가면 진짜 망신이다,0
70,아 일본영화 다이런건가?? 유치하다,0
71,이틀만에 다 봤어요 재밌어요 근데 차 안에 물건 넣어 조작하려고 하면 차 안이 열려있다던지 집 안이 활짝 열려서 아무나 들어간다던가 문자를 조작하려고하면 비번이 안 걸려있고 ㅋㅋㅋ 그런 건 억지스러웠는데 그래도 내용 자체는 좋았어요,1
72,졸작,0
73,재밋네요 달팽이가 빨라서 더 재밌었어요,1
74,어설픈 전개 어이없는 결말,0
75,부패한 로마노프 왕조를 기리는 뭣같은 영화... 온몸으로 항거했던 러시아 민중들이 그저 폭도냐,0
76,내용전개는 무난한 편이였구 잘 보았습니다 ^^,1
77,매우 실망.....,0
78,한국영화 흥행코드: 갈등-갈등-계~에속 갈등-화해-감동- 평점 10점 남발- 흥행 뻔하지 뭐...,0
79,아햏햏 아햏햏 아햏햏.,1
80,뭐냐..시작하고 3분만에 나왔다. 리플릿 사진 보며 불안하더니만..,0
81,단연 최고라고 할수있지,1
82,"감독이 럼먹고 영화를 만들었나보다.. 관객에게 뭘 말하는지도 모르겠고, 엉망진창 개진창이다.",0
83,이건 뭐냐? 우뢰매냐? ;;;,0
84,정말쓰레기영화입니다,0
85,진정 위대한 영화 최고임,1
86,별루 였다..,0
87,내일이 기대되는 `,1
88,근데 조미가 막문위 좋아한건가요??,1
89,ㅋㅋㅋ 진짜 골깜..ㅋㅋ 눈 부라릴때 쓰러짐..ㅋㅋ,1
90,성룡영화중 최악인듯 ㅋㅋ,0
91,골때리네ㅋㅋㅋㅋ 걸스데이 이혜리 잘 되라!,1
92,서기가이뻐서,1
93,완전 재밌어요ㅋㅋㅋㅋㅋ백인공주귀여움ㅋㅋㅋㅋㅋㅋ,1
94,인상적인 영화였다,1
95,어내스트와 셀레스틴 완전 강추에요~ 정말 재밌습니다^^,1
96,재미있는영화입니다.,1
97,클라라볼라고화신본거아닌데,0
98,진짜 보면서 너무 슬펐던 영화다,1
99,설정이 재밌고 새로운 에피소드 내에서 메인 스토리도 차차 나오는게 재밌음,1
100,"신카이 마코토의 작화와,미유와 하나카나가 연기를 잘해줘서 더대박이였다.",1
101,재미없음 진심 1이훨나 캐스팅두못한듯,0
102,잔잔한게 생각보다 볼만한 영화인거 같습니다 ㅋ,1
103,감독님들 고은님 쓰면 영화안봅니다 .,0
104,무섭지도 않았고 스토리도 ..ㅡㅡ,0
105,영화속 억지스럽고 노골적인 술광고를 좀 은은하고 센스있게 했으면 어땠을까?,0
106,킬링타임,0
107,크리스마스하면 떠오르는영화,1
108,"재미있게 봤습니다. 매력적인 행복이네요, '-' ㅎㅎㅎ.",1
109,음악에 완전히 빠져서 볼 수 있었던 영화. 쫌 산만하긴 하던데;;,1
110,"태어나서 처음으로 영화보다 중간에 나왔습니다,,,,불륜이 로맨스냐,,",0
111,왕짜증.....아주 전개를 짬뽕으로 믹스했구나...음향만 무섭게하네..하아,0
112,솔직히 난 별루더라 시간낭비느낌,0
113,대박,1
114,시청률 기준이 되는 패널가구들 머하는거지 명작드라마 다 망치네 ㅡㅡ 내가 다 서운하다...,1
115,내용이 이상해;,0
116,몬스터 주식회사 3D 재밌게 봤다,1
117,내용전개가 너무나 느리다........,0
118,소재는 흥미를 끌지만 이야기 전개가 투박해서 몰입이 안되는군,0
119,절대 보지마라 쓰레기 영화,0
120,"중국인 특유의 과장, 허풍... 있어보이려고 안간힘 쓴 노력은 가상하나, 고증과 현실감 떨어지는 설정이 거북스럽다... 도대체 그들은 왜 이렇게까지 스스로를 과대포장하는 것인지...",0
121,그냥 불법체류자 때려잡는 영화면 좋았을텐데...무슨 우상화를 만든다고 미국의 따뜻한 설정...이건 뭥미??,0
122,2년의 삶속에 주인공의 생애가 전부 드러난 듯 하다.,1
123,별점10점가자,1
124,별로다.,0
125,본지 꽤 지난 후에 남기지만...재미있었음,1
126,아니 이게 왜 9점대 일까...;;;,0
127,10년이 지나 다시 보게된 영화 .. 다시봐도 그 순수한 사랑에 감동 ㅠㅠ 숀펜의 연기또한 甲,1
128,올레에 공짜로있길래 봤음 ㅋㅋ 헐 ... 스토리가 문제가아니라 연기자들이 전혀 배역이랑 어울리지않음 그리고 상대배우들하고 다 따로 노는거같음~~ 이건 연기자들도 문제있음 보아는 진심 완전 별로임 라미란하고 아들이 젤 볼만했음,0
129,너무 욕심이 많았던 영화. 어느 한 쪽만이라도 제대로 보여줬다면......,0
130,아 빵점~,0
131,베댓이 말을 아주 잘써놨네,1
132,아주 모자라진 않다.,0
133,영화 도둑들이나 뫼비우스 하고 같은 나라에서 만들어졌다는게 믿어지냐..?,0
134,온몸이.. 찌릿..짜릿. 나두 용기를 가져야지!!,1
135,정말재미있고 교훈적인 영화이네요!,1
136,당시의 상황과 주제를 주입식이 아닌 긴장감있고 재밌게 전하는 작품,1
137,케이블에서 그만 나와줬으면 - -,0
138,"다르덴,이냐리투,차이밍량이 하나도 안섞인채 짬뽕 그릇에 담겨있다.",0
139,여군 잼없음 뭐하는건지 ...ㅡㅡ잼없음 엠비씨 다잼없음 질린다이제,0
140,좋구나,1
141,"한석규, 김혜수 연기만 돋보인 영화. 어딘지 모르게 많이 어설픈 영화.",0
142,솔직히 에볼라바이러스가 떠들석해서 보게된영화인데 작품성이나 어떤면에서도 20여년전 영화라고보기엔 믿기힘들정도로 정말 잘만들었다고본다 마지막후반부가 살짝 아쉽긴하지만 이정도면 수작이라고본다 시간이 아깝지않은영화,1
143,볼만해;,0
144,재미있다고 허풍 떨지 마세요,0
145,용가리 진짜짱짱맨이다ㅋ,0
146,이 영화를 이제서야 보다니.. 감히 내 인생 최고의 영화중 하나로 꼽을 수 있을만한 작품. 어떻게 살아야할지 나를 위한 고민을 한번 더 하게 되는 시간. 그리고 모건 프리먼은 나이가 들어도 여전히 섹시하다.,1
147,작가가별로다 내용이진짜별로임.. 맨날그냥기대하고 재방송하면 혹시나하고봐줘도 답없다진짜..,0
148,명작도 이런 명작이 있을까 싶다. 보고 또 봐도 여운이 남는 영화.,1
149,아~ 진짜 조금만 더 손 좀 보면 왠만한 상업 영화 못지 않게 퀄리티 쩔게 만들어 질 수 있었는데 아쉽네요 그래도 충분히 재미있었습니다 개인적으로 조금만 더 잔인하게 더 자극적으로 노출씬도 화끈하게 했더라면 어땠을까 하는 국산영화라 많이 아낀 듯 보임,1
150,그만좀 끌고 이제 끝내라. 지겹다 지겨워.,0
151,아,0
152,역시 드니로의 연기는 일품 나도 맥스가 샘을 죽이길 바랬다,1
153,나름 괜찮은 작품입니다,1
154,너무 좋은 영화,1
155,정말 실망 스러웟음..,0
156,배우들은 지네들 안뜨니까 이런영화 찍을껀데??? 왜 안뜨는지 진짜 모르는거야? 면상 딱 보면 알겠구만... 왜 지네 자신들은 모를까?,0
157,어린이가 좋아할듯...내어릴적 동심은 멀리 떠낫나보다.,0
158,무술인이 왜 총을드나?,0
159,10점,1
160,크리스토퍼왈츠와 타란티노의 조합이란 ㅠㅠ,1
161,한국에선유명한편은아니지만 외국에선 상상초월한 유명한 영화입니다.,1
162,오랜만에 재밋는영화봤네요,1
163,종방되어 아쉬워요. 오늘막방도 잘봤어요.방송대본이 꽤 완성도있다는 느낌받았고요. 요즘 드라마들의 막장에 지쳐있었는데 수백향은 정말 바른드라마였던듯해요.악역들도 그리 심하게 어이없지도 않았고요..MBC화이팅!!,1
164,"평점조절위원회에서 나왔습니다(웃음)김혜선은 @내일이 오면@의 김순정,순정이 역할이 제일이다.팜므파탈로써,그 정도까지 잘해낼 줄은,정말 의외였어...연기20년 한사람에게 요즘 사극에서 벌어지고 있는,그녀에 대한 연기논란은 왠지 코미디의한장면 같음(웃음)",0
165,"""""""영화 끝나갈때쯤에 멍하다가 다보고나면 한마디 나올거임 """"""""ㅈ같다.""""""""""""""",1
166,공유 존잘!!!ㅎㅎㅎ,1
167,상쾌발랄한 영화다. 말하기 껄끄런 성이란 소재를 유쾌하게 해설했다.,1
168,소파에 죽 치고 앉아 지켜 볼 이유가 없는 작품.,0
169,로큰롤!!!!!!!!!!!!!!,1
170,"주된 타겟이 어린이니 일반적인 논리가 통하지 않는 건 알겠다. 하지만 게임은 흥미롭지 않고, 요원이라는 주인공이 너무 무능력해서 별로 재미없다. CG 배경도 거슬린다.",0
171,"뮤지컬 영화인데 사운드 녹음 엉망, 남주는 춤도 못추고, 내용은 뻔할뻔, 주인공들 목소리도 너무 안어울리고 어제 CGV에서 뛰어 나가려다 참았습니다.진심 말리고 싶습니다. 영국의 저예산 DVD용 영화뮤지컬영화 아닙니다. 맘마미아 1/10도 안됨",0
172,어린나이에 봤음에도 꽤나 좋아했던 로맨틱코미디,1
173,게이물인줄 모르고 봤네...,0
174,알바는꺼저라,0
175,이 영화 머임????내가 왜 받아 봤을까? 그것이 알고싶다....이 영화는 배우들과 스텝들이 감독의 꼭두각시였음.,0
176,4대2라니....최악,0
177,정말 아름다운 영화 입니다,1
178,자극적인 것에 익숙해진 현대인이 봐도 눈을 떼기 힘든 연출력.,1
179,뻑~뻑~잘 읽어볼걸 나도 당했음,1
180,정말 짜증의 극치를 보여주는영화. 굉장히 언밸러스한 느낌. 뚱뚱하고 못생긴 남자애의 발연기를 시종일관 봐야하는게 고역인듯. 간간히 흘러나오는 잔잔한 클래식풍의 음악조차도 듣기싫어 짜증날정도로 상당히 싫은영화.,0
181,"감동감동ㅜㅜ, 정말 최고네요!!!!",1
182,별점 주기도 아깝네요 얼마나 내용이 진부한지 욕 밖에 안나오네요보고 재밌다고 하는 사람 초딩들인가요 죄송해요 너무 화가나서.아무 것도 볼게 없습니다 보지 마세요 그냥 티비판짜집기 한거 같네요,0
183,나 왠만해서 짜증안내는데...-_-,0
184,돼지피먹고 닭목따는 장면에선 우웩~ 역시 무당은 아무나 하는게 아니다.,0
185,버려,0
186,유치하고 지루하고 잠이 왔다,0
187,3류풍 판타지 3점만 가져가,0
188,윤종신 복귀는 좋았지만 이하늘은 도대체 왜 뽑혔는지 알수가없다. 참가자 실력을 따지기 전에 심사위원 인격과 실력부터 쌓고 오시길^^ 어하어허 그만좀 하고요,0
189,광장한 작품 옛날것도 보고 싶다,1
190,내 생의 최고의 영화,1
191,어린시절 너무 무섭고 재미있게 봤던 추억의 판타지영화.절대 나쁜짓은 금물.지옥가요..,1
192,기존 멜로영화 형식을 탈피하려고 하였으나 감정의 절제가 지나쳐 너무 담백한 영화,0
193,난 사랑비 서준에게 쏙 빠져버렸네. 1.2.3초만에 쏙ㅋㅋ난 절대잊지도않고후회도안할거야,1
194,이영화를보니까 교훈을 주네요! 나도 남은인생을 화려하게 살아야겟다.. 말밖에 안나오네요..,1
195,나름 추억에 젖어들고 좋았음ㅋㅋ아무생각없이 가볍게 보고오기 추천요~,1
196,단순한 싸이코물을 벗어난,1
197,이게 14년도에 만들어진건가요? 아니면 예전에 만든거 다시개봉한건가요?ㅠ너무 허접해요 ㅠ,0
198,넘 사랑스러운 영화다 ㅠㅠ 1보고 2 연이어 봤다~!! 넘 귀여워 ㅠㅠ♥♥,1
199,"청춘 영화만이 줄 수 있는 감성이 넘쳐난다. 이 순간 지나가면 다시 돌아오지 않을테지만, 그 순간만큼은 무한할 젊음이 줄 수 있는 그런 감성.",1
200,TV용 건담 시리즈 중에서 아직까지도 최고봉,1
201,개콘은 요즘 갈수록 코너들이 다노잼이고 웃음이안난다,0
202,사다코의 한이 서린 우물펀치ㅜㅜ 감동,1
203,후세와 사랑하게된 결정적 계기 그시간이 표현되지 않았으며 시람의 생명을 빼앗아야만하는이유등을 시노가 출현하는 연극으 로 더 알려주었으면 하는 생각이든다. 또한 시노가 얼마나 본능을절제히면서 시랑을 하려고 노력하는지를 더 보여줬다면 좋았을뻔했다,0
204,새벽시간에 하는 일본 영화들은 전부 개졸작이다.일본영화원래 다이래??,0
205,강수연의 나가있어~!그리고 최정원의 신음신~,0
206,아..정말 김혜성 너무 예쁘네요 이현진도 웃는 거 정말...하....,1
207,가발 쓰고 싶다,0
208,화려한여정이인상깊어요ㅋㅋ재밋어요ㅋㅋ배두나연기정말잘해요ㅋ,1
209,10대들을 위한 성적 호기심 영화?,0
210,감동적인 영화,1
211,이건 말이 필요 없다 그냥 닥치고 봐라,1
212,각기 다른 사람들의 재밌고 멋진 사랑영화,1
213,역시 미국드라마의 파워. 정말 알수없는 그 미묘함까지 사로잡아버렸다 최고!!,1
214,너무너무 훈훈하네요^^,1
215,이거 응답하라에서 은지원원도 스스로 욕하지 않앗나? ㅋㅋㅋㅋ,0
216,아 너무 웃기고 배꼽 빠질뻔했네^^ 내 컴에 이 영화 있는데^^,1
217,구성이 상당히 부실한 영화. 역시 네이버 평점은 믿을수 없다.,0
218,장끌로드의 몰락을 가져온 오우삼 헐리우드 작품중 가장 재미없었던 졸작,0
219,언제적 영웅본색 연출인지 현실성 제로인 영화,0
220,작은거 하나에도 설레어했던 학창시절 그때 그느낌을 다시 느껴볼수있는시간이었다. 장면 하나 하나 대사 하나 하나 배경음악 하나 하나 버릴게 없는 드라마.,1
221,진심 재미 없는데 너무 평점 높아서 화남;,0
222,더럽게 재미없다 어떤 형태로도 와 닿지 않는 허무하고 완벽히 지루한 영화고 영양가 하나도 없는 영화다,0
223,이승기 정말 연기 잘하는.. 조연들도 연기 정말 잘하고,1
224,"현실은 꿈, 꿈은 현실",1
225,오늘 현충일특집프로로 보게되었습니다 1963년도의 매우 훌륭한 작품입니다,1
226,판의미로와 동급 trash of the trash,0
227,제대하고 보니까 더 재밌네요 ㅋㅋㅋㅋ,1
228,영화를 보는것만으로도 마음의 휴가를 다녀온 느낌.소박하지고 잔잔하지만 지루하지않은..그래서 다시 보고싶은 영화.햇살가득한 비이의 부엌과 요리도 인상적,1
229,코믹한건 좋았는데 짜임새가 너무 허술하다,0
230,1996년 그때 당시에는 우리 나라에 이런 판타지 로맨스가 없었다... 아직도 신현준의 황장군 연기는 음... 괜찮네... ㅎㅎ....한석규의 전성시대가 열린 영화.... 이때 한석규한테 뿅 갔었다~~♥,1
231,일단 재생하면 괴물같은 서스펜스 귀신같은 흡입력,1
232,하..진짜 댓글보고 한번쯤볼만한 영화인거같아서봤지만 기가찬다..이게무슨버킷리스트인가! 죽기직전에 소원들어주기? 내가보기엔 죽기직전에 막 살자 인거같다. 감동도없고.. 진짜 '버킷리스트' 란 영화에 발톱에 때만큼도 못따라가는쓰레기영화.. 완존실망..,0
233,이시간좀...밝고긍정적인드라마보고싶어서..보긴보는데....오버하는연기들이거슬리네요...연기인게너무표나요....홍혜정역이그나마도후련기도하고시원하고.....나머진다들답답하네요...낼월요일인데...해피한것만보고싶네요....,0
234,"정치인의 모순인가, 정치범의 모순인가....",0
235,어떻게 이런 상상을 대단하다.,1
236,"좀 어렵기도 하고, 전쟁에 대한 묘사가... 잘 모르겠다.",0
237,일본에서10주년 극장판만드는데 우리나라에선 10주년으로 재개봉하니이건 좀 ㅄ 아님?,0
238,한대희가 개그콘서트본다고 내전화끊음개그콘서트 없애주세요 ㅡㅡ,0
239,한물 간 동서양 두 배우의 싸움판.,0
240,푸하하하 이거 기대 안했지만.. 역시나 구만..ㅋ,0
241,세계최초의 반공 애니매이션이라는 역사적 가치가 있다.,1
242,감각적인..시각으로...바라보는..색다른...느낌의...사랑...문학적이,1
243,엄마는 무고한 지 딸을 감옥살이 시켜시켜? 이해 안돼요,0
244,이영화는.제발 책을보세여.감독이 미친겁니다.이따위로 만들어놓고.화가 날정도 ㅡㅡ,0
245,신나는 흑인음악과 아이스 큐브 뿐 남는게 없다,0
246,드럽게 재미없네 시간이 돈이다? 내 시간은 어쩔건데,0
247,그저 한마디뿐 '알리시아',1
248,진짜 생생하게 느낄 수 있었다,1
249,재밌는데 평점이 이상하다 싶을 정도로 낮다.,1
250,옥소리 프로필 사진에 1점남기고 갑니다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ완전 대박이다 진짜 아우 짜증나!,0
251,드라마 너무 재밓당,1
252,아진짜너무좋아요ㅜㅜ짱짱!!!,1
253,연기 굿,1
254,이런 영화 다시는 안나오겠지..그때 시절을 잘나타내주었던거같아요 ㅎㅎ,1
255,중간정도 부터 봤는데도 꽤나 대단하군요...,1
256,콩은 까야 제맛 콩은 까야 제맛,0
257,이적의 소설. 재미없다.,0
258,액션영화가 아니다.범죄 느와르 영화다. 허나 범죄 느와르 영화로서도 실패작.......,0
259,뭔가알수없는매력에빠져드는 영화,1
260,모녀를 토막살해한 살인자가 부성애라니.... 말이되나... 감동받은 사람들 본인들이 피해자가 되도 감동받았다고 할수있을까... 진심 묻고싶습니다...,0
261,재밌는데 평점이 왜 이렇게 구리지,1
262,아 OOO기.. 이걸 본 내눈이 아깝다 ㅡㅡ 진짜 아놔 진짜 OOO기명작이네요,0
263,필름값이 아깝다..재미 더럽게없다..2점부터 점수준것들 매미 OO,0
264,또보고 싶은데 어디서 보죠???,1
265,영화 재미있드만.. ㅎㅎ,1
266,남주인공 연기력 안습이네요... 혀짧은 소리 듣기도 너무 힘들었네요 매니저역활분이 남주인공하는게 훨 좋았겠다는 생각이 들정도... 영화 자체는 적당히 볼 만 합니다 ^^,0
267,"3점이 딱.... 액션,스릴러인데 액션과 스릴이 없다.",0
268,"완전 스토리도 엉망이구, 완전 비추..ㅜ",0
269,OOO영화 뭘전달하려는지모르겠네 오글거리고,0
270,좋은영화,1
271,......더빙이 이상해요.....할머니는 월래익숙한 ㄷㅔ.....,0
272,이게 2편이 나왔어???,0
273,모든게 2%씩 다 부족했다...아니..50%씩...,0
274,정말 말 그대로 '쇼'하는 영화..,0
275,12년 전에 봐서 기억이 나질 않지만 진개가(천카이거) 감독 이름 세 자는 기억해 두었던.,1
276,정은지 언니!! 연기 잘하구..노래도 잘부르시고! 마지막회 웃으면서 즐겁게! 봤습니다! 트로트의 연인!♥,1
277,이게 웃겨?,0
278,망함,0
279,"아이의 시선으로 보는 전쟁.., 보는 내내 가슴이 먹먹했다는...",1
280,"사람들이 재미없다고 해서 레알 기대 안했는데 생각보다 볼만함. 근데 여자애랑 복순이랑 다투는 장면? 그건 굳이 없어도 됐다고 생각함 몰입도 겁나 없애고, 어색해보였음",0
281,설정이 연속극같은 느낌이 든다. 하지만 배우들의 연기가 뛰어나다.,1
282,여주인공 인터뷰할때 지루해죽는줄알았음 ㅡㅡ 그냥저냥 킬링타임용 스릴러,0
283,전미 박스 오피스1위 ㅋㅋ 그냥 몰아주기 하는건가 어떻게 이런영화가 1위를 하지 옛날 80~90년대 우뢰매수준의 물폭탄싸움이네 ㅋㅋ 손에서 빔나가나 손에서 물폭탄 나가나 다를게 뭐지?,0
284,감독이 여자다보니 기량이 많이 딸리네,0
285,또 보고 또 울.었.다..,1
286,이런 영화는 하나의 개연성만 없어도 허무하게 만들어 버린다. 조디포스터의 이쁜 모습만 남을 영화.,0
287,굳굳,1
288,스토리도 말이 안되고 개막장 사랑이야기도 아니예요 이걸보고계신다면 당신의 시간과돈을 아낀거예요^.^휴 그래도 본다면 호구,0
289,네놈을 살려두기엔 쌀이 아까워! 세기의 명대사,1
290,평점이 너무 높다. 전혀 재미있지 않았다. 쓸데없이 말만 많음. 이런 류의 영화는 조연들의 뒷받침이 중요한데 조연들의 내용자체가 전혀 없음. 또한 여배우도 별로 매력 없었다. 이틀전에 저스트고위드잇의 애니스톤을 보고 이 영화를 봐서 그런가. 실망했음,0
291,맛깔 나는 드라마.,1
292,시베리아인가 거기가서 훈련할때나오는 ost 개작살,1
293,이건 시종일관 질~~질왜? 제목이 야경꾼 일지냐고 지금 10회가 넘어가는데 즉 2달이 넘어가는데. 앞에서 누군가가 얘기 하더만 이거 100부작이냐고 그러다 또 한 순간에 모든걸 훅진짜 지루함의 지존,0
294,나이들수록 이해가 가는 영화,1
295,ㅠㅠ 슬픔,1
296,장면 개연성도 없고 아역은 연기도 못하고 무슨 추노에 나오는 민폐언년 외국판인줄....초반만 그럴싸한 저급영화,0
297,이 영화 정말 별루예요. 결말이 이상해요....,0
298,딱히 재미는 없네요 킁;;,0
299,송강호는 정말 연기를 하기위해 태어났고 그로인해 우리는 즐거움을 느낀다 역시 송강호는 연기파다.,1
300,일본영화 수입 금지 시절에도 비디오 테이프로 돌려봤던 불후의 명작 아 그립다,1
301,살인을 소재로 한 영화가 이토록 재밌을 줄이야. 살인에 대한 감독의 해석이 정말 재치있다. 대 배우님들의 10여년전 모습도 새롭웠고. ㅋ. 정말 유쾌하고 재밌다.,1
302,누미 라파스 신봉선 닮아서 안 본다,0
303,케이블에서 그만 좀 재탕해라.,0
304,"멋졌다. 정말이지, 멋지다는 말 이외엔 할 말이 없다.",1
305,98년에 어떻게 이런영화가 만들어졌는지 의문.. 당대 최고의 영화 지금봐도 퀄에서 결코 떨어지지 않아요,1
306,지금 이거 티비로 돈내고 보고있는 내가한심하다,0
307,쓰레기 연예인 재기의 장~~그러나...,0
308,굿 좋아,0
